product_category_name_english,total_revenue,total_orders,total_products,avg_price,avg_freight,revenue_per_product
Health Beauty,1441248.07,8836,2444,130.16353050672183,18.879703205791106,589.71
Watches Gifts,1305541.61,5624,1329,201.13598397596394,16.7811600734435,982.35
Bed Bath Table,1241681.72,9417,3029,93.29632748538012,18.415928025191185,409.93
Sports Leisure,1156656.48,7720,2867,114.34428538363615,19.512499710681634,403.44
Computers Accessories,1059272.4,6689,1639,116.51390315574294,18.821781014437203,646.29
Furniture Decor,902511.79,6449,2657,87.56449364050876,20.728257739380847,339.67
Housewares,778397.77,5884,2335,90.78814761631247,20.986374210224007,333.36
Cool Stuff,719329.95,3632,789,167.357968914647,22.138856691253952,911.7
Auto,685384.32,3897,1900,139.9575230224321,21.880569067296342,360.73
Garden Tools,584219.21,3518,753,111.63019553715206,22.765757994018863,775.86
Toys,561372.55,3886,1411,117.54836045664318,18.806400291474375,397.85
Baby,480118.0,2885,919,134.34417292006526,22.301177814029366,522.44
Perfumery,453338.71,3162,868,116.73731207955542,15.856636443404502,522.28
Telephony,394883.32,4199,1134,71.21397799779977,15.669040704070406,348.22
Office Furniture,342532.65,1273,309,162.0110585452395,40.551123595505615,1108.52
Stationery,277741.71,2311,849,91.75336909018674,18.592959872864522,327.14
Pet Shop,253876.65,1710,719,110.0746841294299,20.319075500770413,353.1
Computers,232799.43,181,30,1098.3405418719212,48.45467980295566,7759.98
Unknown,213662.9,1473,623,113.73679164105717,17.58644130301168,342.96
Musical Instruments,210137.37,628,289,281.616,27.409544117647062,727.12
Electronics,206825.06,2550,517,57.913530899891576,16.833509215757136,400.05
Small Appliances,206668.83,630,231,280.7784683357879,23.593888070692195,894.67
Fashion Bags Accessories,184273.54,1864,849,75.24546528803546,15.484982767109798,217.05
Consoles Games,177293.24,1062,317,138.49183817062445,17.438891820580476,559.28
Luggage Accessories,170875.21,1034,349,128.5988827838828,27.880247252747253,489.61
Construction Tools Construction,165328.0,748,400,155.7347578040904,22.22864370290635,413.32
Home Appliances 2,123917.92,234,90,476.1249579831933,44.53857142857143,1376.87
Home Construction,96920.36,490,225,137.56311258278146,22.901059602649006,430.76
Home Appliances,94990.43,764,370,103.98382619974059,19.220363164721142,256.73
Furniture Living Room,86884.73,422,156,137.0110536779324,35.72200795228628,556.95
Agro Industry And Commerce,78374.07,182,74,342.12485849056606,27.56415094339623,1059.11
Home Confort,67073.27,397,111,134.95861751152074,19.588087557603686,604.26
Fixed Telephony,64220.81,217,116,225.6931818181818,17.567462121212124,553.63
Air Conditioning,61774.19,253,124,185.26922558922558,22.724680134680135,498.18
Kitchen Dining Laundry Garden Furniture,58327.8,248,94,164.8696441281139,42.702597864768684,620.51
Audio,56398.94,350,58,139.25412087912088,15.688021978021977,972.4
Books General Interest,56052.4,512,216,84.73215189873417,16.62842676311031,259.5
Small Appliances Home Oven And Coffee,50193.57,75,31,624.2856578947368,36.15605263157895,1619.15
Construction Tools Lights,48663.8,244,78,135.1315789473684,24.94671052631579,623.89
Industry Commerce And Business,47554.29,235,68,148.0209328358209,29.42044776119403,699.33
Construction Tools Safety,44463.62,167,91,208.9923711340206,20.201546391752576,488.61
Food,36664.44,450,82,57.63413725490196,14.256921568627451,447.13
Market Place,33834.53,280,104,91.2490996784566,17.543601286173633,325.33
Costruction Tools Garden,31027.29,194,88,108.04995798319328,22.316806722689073,352.58
Fashion Shoes,28481.64,240,173,89.93423664122137,18.774312977099235,164.63
Art,28247.81,202,55,115.8021052631579,19.35488038277512,513.6
Drinks,28169.95,297,81,59.178627968337736,15.148416886543536,347.78
Signaling And Security,28017.05,140,93,108.08658291457286,32.70261306532664,301.26
Furniture Bedroom,24661.01,95,45,183.75027522935778,42.49752293577981,548.02
Books Technical,23379.12,260,123,71.52082397003745,16.041423220973783,190.07
Food Drink,19687.47,227,104,54.602446043165465,16.215791366906473,189.3
Costruction Tools Tools,17934.170000000002,97,39,154.40728155339806,19.710873786407767,459.85
Fashion Male Clothing,12950.23,112,95,81.80166666666666,16.306136363636362,136.32
Christmas Supplies,12030.12,128,65,57.52169934640523,21.106535947712416,185.08
Fashion Underwear Beach,11457.74,121,53,72.83625954198473,14.627404580152673,216.18
Tablets Printing Image,8754.61,79,9,90.70373493975903,14.773493975903614,972.73
Cine Photo,8189.66,65,28,96.29805555555555,17.447222222222223,292.49
Dvds Blu Ray,7288.13,59,48,93.74046875,20.1365625,151.84
Music,6724.86,38,27,158.79868421052632,18.171315789473685,249.07
Furniture Mattress And Upholstery,5998.54,38,10,114.94947368421053,42.90684210526316,599.85
Books Imported,5409.7,53,31,77.33083333333335,12.830833333333334,174.51
Party Supplies,5313.150000000001,39,26,104.30651162790699,19.255116279069767,204.35
Fashio Female Clothing,3425.39,39,27,58.409166666666664,12.953125,126.87
Fashion Sport,2697.64,27,19,70.65033333333334,19.271,141.98
La Cuisine,2388.54,13,10,146.785,23.825,238.85
Arts And Craftmanship,2184.1400000000003,23,19,75.58375,15.422083333333333,114.95
Diapers And Hygiene,2141.27,27,12,40.19461538461538,14.709743589743589,178.44
Flowers,1598.91,29,14,33.63757575757575,14.814242424242424,114.21
Home Comfort 2,1170.58,24,5,25.342333333333332,13.677,234.12
Cds Dvds Musicals,954.99,12,1,52.142857142857146,16.070714285714285,954.99
Fashion Childrens Clothes,665.36,8,5,71.23125,11.93875,133.07
Security And Services,324.51,2,2,141.64499999999998,20.61,162.26
